"transaction_id","payment_method","card_no","order_id"
"95785690-WR","visa",4041373456033137,"#DD1703"
"24337581-HN","americanexpress",337941966981614,"#sb3009"
"36118323-PO","mastercard",5007666524708559,"#Bq9692"
"48907677-ZJ","americanexpress",337941866324048,"#Ej9450"
"29529659-MN","americanexpress",374622701521485,"#Iw4117"
"85594762-YN","americanexpress",374622370479304,"#kr6425"
"39316836-QK","americanexpress",337941893009257,"#TI5902"
"03355381-YS","americanexpress",337941333557790,"#oG6041"
"97863982-EP","americanexpress",374283822381851,"#Dx3095"
"62952491-DF","mastercard",5108751914091630,"#Ls9548"
"98961123-MS","mastercard",5002358230682121,"#Or8717"
"65867755-DM","mastercard",5048379422305178,"#hG6895"
"05809760-DP","americanexpress",374622983934455,"#hI9386"
"09806809-VQ","mastercard",5100141400437745,"#XH1746"
"63661940-XO","visa",4041374942366842,"#AM5703"
"09146129-XC","visa",4041377065652492,"#mA7298"
"22024289-UP","visa",4017954358185123,"#wa7994"
"98601339-JD","mastercard",5108758248143771,"#GH4913"
"44457370-VH","americanexpress",374622421496869,"#cV5503"
"27429682-JH","americanexpress",374283821041217,"#mD8553"
"26249616-TY","mastercard",5007663591677213,"#XA2921"
"42100302-DT","americanexpress",374622174945237,"#PE2549"
"78744335-TZ","americanexpress",337941736975409,"#DX8416"
"83957154-DP","americanexpress",374283785015959,"#hz1777"
"93723006-GH","americanexpress",337941905625942,"#LT7490"
"08852940-OR","mastercard",5108752785760204,"#SU3305"
"50214023-IF","visa",4041595701597595,"#cl5976"
"81450505-CN","mastercard",5100143208432902,"#md9122"
"77742948-YO","mastercard",5108757973566503,"#Ge9210"
"13742196-OY","americanexpress",374622537478512,"#wa9123"
"10010402-FS","americanexpress",337941584221302,"#qP0031"
"00384556-JE","mastercard",5010121771341733,"#zv6543"
"13368753-JB","americanexpress",374622323889286,"#dZ7694"
"46030522-GS","americanexpress",374288019768927,"#Rl4262"
"68266504-UT","americanexpress",374283734530215,"#Rb7269"
"65347752-UO","americanexpress",372301606311001,"#EN2824"
"44249327-XX","americanexpress",374283308646884,"#GK7373"
"45295329-OC","americanexpress",337941556207271,"#Nq1619"
"07734594-OY","visa",4041592636518,"#bt6878"
"48154973-WI","americanexpress",374622530518405,"#OV9600"
"40300679-FR","visa",4041599637833231,"#az5597"
"69696375-YA","americanexpress",374288197783557,"#jt9913"
"10613968-GB","americanexpress",337941783701203,"#KY5577"
"80689695-XL","visa",4041374942424237,"#Zv5885"
"40775328-UT","visa",4041591694377,"#DO5754"
"72410482-LQ","americanexpress",374283765774443,"#pm7025"
"25098535-BZ","mastercard",5100177253173615,"#DV3951"
"85001620-CU","americanexpress",374622057821943,"#sE0371"
"06344612-VM","americanexpress",374622109012418,"#de2464"
"55332772-XN","mastercard",5100140397713035,"#DP6231"
"49338865-RE","americanexpress",374622174914795,"#VC5112"
"48084453-JO","americanexpress",337941015230054,"#yU5024"
"48849619-OM","mastercard",5007668038830184,"#Rk1388"
"62283634-OF","mastercard",5048378362662754,"#hx9985"
"17067022-RB","visa",4041594359424,"#tw0273"
"86552843-BX","americanexpress",337941915736267,"#oa8112"
"12879898-DD","mastercard",5048377871253238,"#UA9406"
"23142327-RN","visa",4017958618278479,"#CM0243"
"57859569-UL","americanexpress",372301032864243,"#he2655"
"95324016-WL","mastercard",5100132799001705,"#mH0376"
"00839145-FQ","visa",4041596598526580,"#FJ3018"
"56404197-VM","americanexpress",372301224267056,"#xW7634"
"57492706-ZU","mastercard",5108750363687401,"#Bw1886"
"82015090-OQ","americanexpress",337941604349620,"#FO2719"
"85731495-HM","mastercard",5007662582057203,"#OJ4091"
"84019191-OL","mastercard",5100134427861476,"#eu4474"
"80339168-HP","mastercard",5007660806157759,"#VM4631"
"39037107-MK","mastercard",5048374435118668,"#SW8036"
"81305561-IY","americanexpress",374288776919184,"#hC7077"
"37071437-FM","americanexpress",374622093341070,"#Aw9543"
"67902564-TI","visa",4041592023774,"#PS6770"
"05427870-EP","mastercard",5108754117175200,"#iE3779"
"17227615-ZO","visa",4017957672611120,"#pr8327"
"08462474-WQ","americanexpress",374622169554234,"#fU5548"
"48063369-QP","americanexpress",337941480362234,"#mo6859"
"15033099-JW","visa",4041592186613,"#Hs7527"
"84654844-NM","americanexpress",372301752317612,"#ia0795"
"03711093-LE","americanexpress",337941147719628,"#Au5760"
"67365210-XF","americanexpress",374288869325117,"#hJ5277"
"34759748-TP","americanexpress",374622630437266,"#XR3186"
"95023427-HS","americanexpress",337941177250312,"#uI6179"
"24334368-NV","mastercard",5048374539732083,"#Tt4666"
"37818649-PO","mastercard",5100172836681531,"#wv6708"
"60066164-HB","visa",4041374295152,"#uO5682"
"40321417-RS","americanexpress",374288734405862,"#QW2984"
"16573889-AL","americanexpress",374283141785360,"#Ss3808"
"31033529-AE","americanexpress",337941611882407,"#KT6360"
"69782039-YU","americanexpress",337941864250377,"#uu0929"
"91153915-AD","mastercard",5100170899693294,"#CV7998"
"52687964-PE","mastercard",5002353484568837,"#tm1421"
"74907971-QB","americanexpress",337941136465977,"#Ex1515"
"43973447-KS","mastercard",5108753004495523,"#aK3459"
"17541455-WG","mastercard",5007663277014525,"#SC2946"
"58709439-BP","visa",4017950449573392,"#XW8900"
"03414157-VP","visa",4017952253068006,"#nG8173"
"91185865-QF","mastercard",5100145487148729,"#lu9074"
"25613854-QR","mastercard",5100136198639163,"#pI0980"
"49637094-OY","americanexpress",374283811464114,"#qR8143"
"12734993-EM","americanexpress",337941640865795,"#mr9639"
"35885776-LM","americanexpress",374283191244862,"#Ns1392"
"53480181-ZK","mastercard",5108755912962692,"#TP7259"
"09325555-UP","mastercard",5108756245196677,"#HG3131"
"97540589-WI","mastercard",5010129626532976,"#SI1481"
"66225889-FJ","visa",4041595807516226,"#mT9989"
"14311575-HA","americanexpress",374622538309971,"#iG4788"
"26272763-RP","americanexpress",374283930227517,"#zr9209"
"68389965-XU","americanexpress",374283077753317,"#NC8935"
"97472432-AO","mastercard",5108755278999288,"#kD5381"
"70853005-LF","visa",4041374069493288,"#cp7137"
"42292086-CC","visa",4017954523659465,"#XA4844"
"30415766-TI","mastercard",5108752549825095,"#en1100"
"70088825-HD","visa",4041590137527,"#AW8102"
"52976905-AH","mastercard",5007668045523889,"#GI3163"
"63436066-RH","americanexpress",337941949166945,"#Kv5404"
"69911087-BE","visa",4017957885237267,"#FQ3199"
"16464023-TK","mastercard",5100136413310228,"#zN0341"
"64703601-CT","americanexpress",374283216403840,"#RW9248"
"86753007-NJ","visa",4041596601112,"#ax5954"
"61916186-FF","visa",4041371697202,"#PW2070"
"48824572-RB","americanexpress",374622103272034,"#AF7695"
"14324125-NA","mastercard",5100138776807527,"#TB0048"
"46119673-NF","mastercard",5007668755474323,"#Iw6823"
"69857702-LO","americanexpress",337941395866469,"#TS0562"
"03023116-YG","visa",4017955639187432,"#ZC7411"
"17629532-TV","mastercard",5048373106357522,"#dq2332"
"05796028-SB","americanexpress",374622347906942,"#Ac1788"
"88091473-AX","mastercard",5100134386917541,"#ca5180"
"55504495-LW","visa",4041595045147,"#Vg3393"
"36680372-FL","mastercard",5048373622864704,"#Tf6142"
"73033207-EK","visa",4041592909907,"#tg0182"
"14720370-HC","mastercard",5100138001575469,"#Ov5493"
"24500832-WU","mastercard",5100148562949003,"#jV6693"
"60538044-QN","americanexpress",372301013504040,"#cx0815"
"62544254-AQ","visa",4041379816047881,"#Mr4402"
"44455727-IT","americanexpress",337941878753093,"#KZ5897"
"72929222-JB","americanexpress",374622780876891,"#bT9429"
"74854351-AN","visa",4041599689578429,"#lP5013"
"31442639-UB","visa",4041590367849950,"#sw3987"
"38899098-DB","americanexpress",337941432558699,"#Nn2787"
"68682241-YT","americanexpress",374622905639067,"#FR4708"
"74548409-GY","mastercard",5002359415921318,"#rZ4349"
"21753123-TO","americanexpress",374622345861909,"#li9169"
"93994526-ZN","mastercard",5002352522620121,"#CW2116"
"91536093-OO","visa",4041370738825,"#aB7883"
"89144173-NU","americanexpress",374288105242274,"#SP1258"
"57731154-KU","mastercard",5100179178646329,"#JN7259"
"01330681-VZ","visa",4017954201458545,"#uM0943"
"79530810-XV","americanexpress",374622206023920,"#PQ1330"
"02045143-FF","mastercard",5048375512595470,"#yX3746"
"85303010-PZ","mastercard",5100177594615498,"#Bq7915"
"17187521-KQ","visa",4041596074039,"#wW5394"
"68383167-IU","americanexpress",374288089582067,"#PR5786"
"01421762-SM","americanexpress",374622532275715,"#Xl2228"
"31317815-ZZ","visa",4041594850638,"#bm3395"
"94478334-UT","americanexpress",337941466880027,"#FY7678"
"59574531-KM","mastercard",5048377747485113,"#AF6260"
"80655861-OL","mastercard",5100134626340090,"#zP7521"
"32110829-GE","mastercard",5100130407077307,"#XX2495"
"35169433-OX","mastercard",5108757763506677,"#rV1704"
"47958887-JI","mastercard",5100135764083897,"#UQ5573"
"43424389-HB","mastercard",5100179044935146,"#hO8075"
"42614453-XY","mastercard",5010122626301534,"#Wk8191"
"99457370-PH","americanexpress",374283804151629,"#Jo9732"
"32828114-TL","mastercard",5100141049238868,"#zd8477"
"25612185-PT","mastercard",5048375447222513,"#oH5180"
"17566989-DU","mastercard",5108755354263930,"#WS5444"
"67588604-YX","visa",4041595136042217,"#HX9519"
"78897969-IT","americanexpress",374288464190635,"#Fq9796"
"62131199-NJ","mastercard",5048378446914874,"#gh0043"
"23544837-AP","americanexpress",374622077416922,"#Jr0912"
"47402623-KE","americanexpress",337941800770173,"#le8406"
"31409540-FX","americanexpress",374622313448325,"#ap3995"
"29191828-TX","americanexpress",374288380874593,"#iR4373"
"73147679-PU","mastercard",5002355023840361,"#Ty4246"
"25125620-LA","visa",4041597582707251,"#nd6454"
"28824853-UG","americanexpress",337941358065869,"#AI6989"
"68396403-UU","americanexpress",374288059729110,"#aR6402"
"39865053-KN","americanexpress",374622500887384,"#ZN9819"
"88870074-PF","americanexpress",372301449025925,"#sY6041"
"70581155-NK","americanexpress",374622749798756,"#Rw9827"
"76262429-FO","americanexpress",374283902986835,"#Qt9578"
"05965826-XI","visa",4041594158834,"#Wq5924"
"49015044-ZH","visa",4041592438279,"#Fh0063"
"15480845-EE","americanexpress",374622319873104,"#dg1677"
"95887641-LF","visa",4017950946153334,"#sU9453"
"64976492-LJ","americanexpress",374622847477097,"#FF3211"
"65037118-OW","mastercard",5100130939074624,"#Vp8753"
"15524226-QX","mastercard",5100143151279854,"#Gh6677"
"65046193-YO","mastercard",5100144229887496,"#Ml7607"
"16590787-LS","visa",4041599285731,"#vx3068"
"65635714-NL","americanexpress",374283042867564,"#Tm8104"
"56022693-WO","mastercard",5108755805354726,"#gF4758"
"28171863-PE","visa",4041593457497276,"#Jy7176"
"00794112-XU","americanexpress",374288879421930,"#od7264"
"41674110-VI","mastercard",5100135610069637,"#Rp2205"
"43403277-RC","americanexpress",374288450912869,"#zc9390"
"73212964-PS","mastercard",5100135556953661,"#cF9269"
"82585771-HB","mastercard",5100139186958199,"#Ot5155"
"31595880-DB","mastercard",5100144251390708,"#fu2190"
"98209310-JX","americanexpress",374622998545890,"#Lc8251"
"59802900-CF","americanexpress",374283276326691,"#Co9729"
"14394662-HB","mastercard",5048376330644805,"#aL3778"
"11212785-PQ","visa",4017957458698,"#lA3265"
"61045103-NZ","mastercard",5108759614331479,"#NH3108"
"66626955-RP","mastercard",5048378603521256,"#Vp9877"
"53060115-IT","mastercard",5002353207323890,"#yP4280"
"05351389-XR","mastercard",5048373731595389,"#pE5930"
"81791885-OG","americanexpress",374622288206419,"#Lv1635"
"76368623-TJ","americanexpress",374283105106637,"#fm5486"
"03220189-NO","mastercard",5100170517797444,"#EE5615"
"56791560-LE","visa",4041590852687,"#Ef0196"
"08061271-AV","americanexpress",374283389427634,"#yZ7691"
"86343792-FJ","americanexpress",374288137179668,"#Uf0243"
"12059215-BI","visa",4041592451801,"#Fa0944"
"39541982-KL","mastercard",5100147983073237,"#RX4623"
"17329916-DS","americanexpress",374622044442365,"#Zd4796"
"88093255-JY","americanexpress",374288136291274,"#ur5726"
"44668347-YO","americanexpress",374283996609038,"#fr0615"
"67144806-YG","mastercard",5002359659761123,"#OG1053"
"25363117-GG","mastercard",5010127596797694,"#hL3197"
"16416352-PR","mastercard",5007663374451877,"#he4968"
"03063190-OS","mastercard",5100140689213397,"#CI4990"
"42731072-TD","mastercard",5048372029589054,"#iV1569"
"96230667-TW","mastercard",5100172404754843,"#lN2339"
"27587645-PP","mastercard",5108755067462274,"#tu9606"
"87000029-VS","americanexpress",374622124879981,"#AA8927"
"80039903-SU","americanexpress",374288083914480,"#yH1559"
"14963793-US","americanexpress",374622675777683,"#Lg3839"
"04643905-HQ","mastercard",5100179358313393,"#qj7195"
"13853096-GG","mastercard",5010126533984654,"#FO4142"
"48531326-RM","americanexpress",374288303817042,"#Wv7883"
"49878132-QI","visa",4017953800613419,"#OI1145"
"79525069-GP","americanexpress",372301576113577,"#rZ2836"
"37148672-KQ","americanexpress",374622943949320,"#KB6688"
"76602796-HR","visa",4041593212392,"#oQ6361"
"27220429-MO","americanexpress",337941658907273,"#ya6727"
"08512913-XS","americanexpress",337941020904735,"#Rj0068"
"85616304-KY","mastercard",5100139582715573,"#Md5397"
"79748336-HM","mastercard",5100176805211113,"#lX2871"
"07258279-FL","mastercard",5108750955580642,"#aj7556"
"17649399-XE","visa",4041596763109873,"#py5340"
"42675970-CF","visa",4041376882122,"#FT0118"
"73810900-UZ","visa",4041376736088,"#sz5355"
"23584078-IW","mastercard",5100139402769800,"#lK1488"
"49464461-IY","mastercard",5048370202204350,"#wg0614"
"74813869-GC","visa",4041379661046939,"#Kc5176"
"90549589-UW","mastercard",5108755385727986,"#OK0574"
"81662828-RI","americanexpress",372301945664417,"#gu1555"
"09466099-ZB","visa",4041379364516,"#QD9768"
"04664950-CG","visa",4041375203106,"#Qs3185"
"43365272-QP","visa",4041376496558799,"#aE3987"
"79832806-LE","visa",4041599297473146,"#qZ2653"
"99896999-PL","americanexpress",374622376592381,"#uX5279"
"22072903-YR","visa",4017951509226863,"#aY4068"
"55734391-GS","mastercard",5100174998347539,"#mD6954"
"18993818-OT","americanexpress",374622329057870,"#Dp3737"
"47292603-RX","mastercard",5100146092320547,"#hP8663"
"14335402-FQ","visa",4041376053786866,"#ny7237"
"54719079-JT","mastercard",5007667708319791,"#jT1627"
"18646438-IF","americanexpress",374288450258941,"#fk4606"
"95002610-TQ","americanexpress",374622355332437,"#Jd4722"
"02062140-WL","visa",4041590420170,"#UW2784"
"21963952-JT","visa",4041375986148,"#Vs8732"
"72325740-SI","mastercard",5108753566319855,"#da2488"
"17600771-FF","visa",4017955667126,"#Md6132"
"58789814-DZ","visa",4041599124025549,"#RG9375"
"87609036-QO","mastercard",5048371122473265,"#oI4029"
"67237264-HU","mastercard",5100172749916743,"#Qt3229"
"95124455-AH","mastercard",5100143664269830,"#an1546"
"61128035-TE","mastercard",5048373652843586,"#PY1922"
"69515077-CH","mastercard",5010122378428352,"#GN9252"
"79322114-YY","americanexpress",374622579261412,"#JL3031"
"38472885-MX","americanexpress",374622140487421,"#Gf2991"
"76750391-DN","visa",4041376150172929,"#OZ4717"
"41434899-PG","americanexpress",374622257159417,"#ix7833"
"50829734-LZ","americanexpress",374283863389847,"#Fc0388"
"87665100-ZR","americanexpress",372301389021520,"#br7265"
"73961441-YT","visa",4041592930044,"#Zy8840"
"60408254-OF","americanexpress",374288785124651,"#Cp2681"
"84955808-JG","americanexpress",374288624495916,"#JM6101"
"38932702-WH","visa",4041599918474317,"#Yv5426"
"63475655-LZ","americanexpress",374288424324373,"#cV4392"
"50407543-XF","mastercard",5108755243218707,"#Ej6674"
"67458176-XS","americanexpress",374283779629195,"#ne7905"
"23373932-BZ","americanexpress",337941385724132,"#Lv9171"
"04643748-MZ","americanexpress",374622570610849,"#JN6143"
"99476021-PL","americanexpress",374622738217917,"#tZ8740"
"36971908-UJ","americanexpress",374288856337299,"#JG3241"
"42574693-GD","mastercard",5108753933141883,"#DI9807"
"21989148-TL","mastercard",5010120536843595,"#ft3877"
"75289592-EN","mastercard",5108758224290596,"#vz5950"
"33146618-CW","americanexpress",337941871849765,"#ge6502"
"20526808-QM","americanexpress",374288405934554,"#gR9323"
"74676664-LC","mastercard",5108759172051600,"#DG1111"
"47021636-EZ","mastercard",5048377796133200,"#af0933"
"53301260-IT","visa",4017950188284,"#OU3517"
"50326073-LR","americanexpress",337941379607053,"#cK3307"
"31014322-EG","visa",4041372441394,"#tY5356"
"52557071-HQ","visa",4017955016605,"#kV3980"
"58477686-LJ","americanexpress",374622226875937,"#cN2392"
"12840266-ZX","visa",4017955131214783,"#lK8263"
"17906904-NJ","mastercard",5100133110781173,"#nf0565"
"08057038-KQ","visa",4041592893730571,"#Xq0741"
"52015964-CL","americanexpress",337941292447041,"#ic1861"
"99996438-WZ","mastercard",5100149670123507,"#An0582"
"82571602-XT","mastercard",5100178249317019,"#Tg5349"
"94029164-BH","mastercard",5108753190795884,"#NH0470"
"83504258-ZO","visa",4017952314176863,"#WZ1119"
"52795314-LU","americanexpress",337941752817089,"#Ij5663"
"12992527-UC","visa",4041596888361888,"#uj4966"
"53165562-IW","americanexpress",374283055941405,"#FO4240"
"58673293-KZ","americanexpress",337941385529481,"#oM5261"
"20446387-QZ","mastercard",5108754881850210,"#PT4490"
"97513285-RA","visa",4041592218913795,"#xq5312"
"19976023-CX","mastercard",5100141037022118,"#GU1719"
"12966407-YT","visa",4041376338349,"#xs5806"
"62169066-OY","mastercard",5108755055650922,"#xL7655"
"67994144-GD","americanexpress",374622975933218,"#SB6380"
"92965838-DV","visa",4041596077685,"#cN5645"
"24390488-TA","mastercard",5048379053465242,"#CF9850"
"00610608-WY","mastercard",5100139360057107,"#cZ1803"
"00258886-BR","visa",4041377877915,"#hr7253"
"66672316-SS","mastercard",5108755298111286,"#dw0006"
"27676339-PC","mastercard",5100141928850502,"#te9927"
"62738780-SF","mastercard",5048379697344258,"#pI1554"
"69874881-UW","americanexpress",374288154182033,"#Hs9193"
"86441463-RI","americanexpress",374288521268218,"#VI2143"
"48719236-WU","visa",4041590880837177,"#ZZ4611"
"84753937-FG","mastercard",5048379124418535,"#EO8007"
"38520561-ML","americanexpress",337941666909246,"#Wc0424"
"67498966-XF","americanexpress",374283642029821,"#ia7764"
"69814712-IF","mastercard",5100171032621192,"#Fr6355"
"18890927-VV","mastercard",5048379382270065,"#Lx7928"
"48907708-BF","americanexpress",374288909388836,"#NQ7515"
"57940929-VC","visa",4041596038760,"#lf9650"
"46581828-AN","mastercard",5100149387750410,"#iR3748"
"41859780-WV","visa",4017956857631267,"#Nu3548"
"77230119-BR","americanexpress",374622016737776,"#Bv7627"
"29539040-IE","americanexpress",337941201955076,"#JV9266"
"68045649-GQ","visa",4017950238329,"#ic7443"
"04634693-DG","mastercard",5108756054282451,"#AA1553"
"93276903-JU","americanexpress",374288947457999,"#Jf8020"
"20831872-UJ","mastercard",5010125529289557,"#DV6419"
"41705647-BX","americanexpress",374283034817577,"#jj8447"
"39311751-SQ","americanexpress",374622997892624,"#xy0645"
"15293634-DW","americanexpress",374283622516730,"#Pm5139"
"85537661-HT","visa",4041375972738792,"#Cn2599"
"39029338-PT","mastercard",5108752016228112,"#WQ4049"
"24239012-KK","mastercard",5100172299925722,"#Tf6431"
"87459890-SD","americanexpress",374283803634211,"#OE8159"
"05620532-IY","mastercard",5100141936957000,"#sm3733"
"42080384-QA","americanexpress",374283287034839,"#sV4007"
"35062690-KY","americanexpress",374288026156389,"#Uw6662"
"97045212-AI","mastercard",5100148266053771,"#yC7987"
"03755930-TZ","americanexpress",337941289334467,"#Pv0492"
"79080818-XC","visa",4017951135805,"#wq9790"
"68831595-ZV","mastercard",5010120512901359,"#Jb6265"
"08906495-LB","mastercard",5100177721131054,"#IU4211"
"86871567-DO","mastercard",5048376960404587,"#Lu7001"
"95598343-UT","visa",4041377818453420,"#Ev3428"
"37853431-SL","visa",4041597786573,"#jg2804"
"33455970-TZ","visa",4041598440737233,"#ST8572"
"39512485-VY","americanexpress",374622657178462,"#vX2591"
"09880215-NB","mastercard",5100177877010102,"#VO6186"
"36043325-RJ","americanexpress",374283223469180,"#xf4464"
"21529687-DY","visa",4041377935390,"#sB5789"
"80936765-RB","americanexpress",374283495417883,"#eL8320"
"46888413-NI","americanexpress",374288197981300,"#eu7723"
"38176352-DJ","visa",4041591112035317,"#hF2387"
"48980040-CP","mastercard",5100146635587941,"#aD7452"
"17641049-OB","visa",4041591839071,"#Oc6401"
"52080234-KU","mastercard",5007660460545984,"#Uy5362"
"46611231-TC","mastercard",5048372433982127,"#wZ7306"
"53383290-WF","visa",4041599081493334,"#QC9613"
"03058571-NR","visa",4041597298124,"#PF7891"
"06345686-NW","mastercard",5002358878583441,"#pH5258"
"25869152-LD","americanexpress",337941445779712,"#ms9618"
"70055101-HR","visa",4041592115941436,"#KT2871"
"25183158-LW","visa",4041598394120,"#NH1873"
"64116210-KO","mastercard",5108755953570164,"#jG6124"
"72952288-OR","visa",4017952322840,"#KP1175"
"64257124-CQ","visa",4041378730720151,"#iV1809"
"92875826-XB","americanexpress",374622556191467,"#xu6433"
"17158570-OH","mastercard",5108752659480699,"#Ci6997"
"67179850-UW","mastercard",5010129727845335,"#fu2687"
"66741989-WG","americanexpress",337941692568966,"#tL5955"
"93709138-SA","visa",4041379076035907,"#em7285"
"44641440-TJ","americanexpress",374288802608322,"#OA7235"
"92510812-GE","mastercard",5007663052409148,"#eC3613"
"18042302-MK","visa",4017953448966,"#rS6751"
"32897191-NV","mastercard",5002351597439185,"#Fc7102"
"56568032-KO","visa",4041596918011,"#ZB1218"
"22173614-RP","mastercard",5010129255061925,"#pC1332"
"00963207-NP","americanexpress",337941904664215,"#Pq9811"
"88750169-WR","mastercard",5108755351242242,"#Kl7492"
"30062078-RE","americanexpress",374622092842672,"#lx6386"
"65435643-VU","mastercard",5108752662475397,"#AR3083"
"44062729-DQ","americanexpress",337941473617271,"#pi1721"
"55548499-VQ","visa",4041593628761,"#Yr8183"
"71536781-EY","visa",4041599275195,"#oF2218"
"45554431-RY","americanexpress",374622894706810,"#yD5711"
"84319993-JG","americanexpress",374622821753166,"#bT7347"
"68941264-JE","visa",4041593634057761,"#Cf8551"
"85447875-EY","americanexpress",337941762743556,"#ox0685"
"40795492-XK","mastercard",5108754499441774,"#MY9012"
"64117938-UU","americanexpress",337941733691132,"#jo5753"
"44154059-FK","mastercard",5048374486195458,"#xW1210"
"36307172-IY","mastercard",5048376120144370,"#ZX6892"
"84463259-GB","mastercard",5100130209011447,"#ks0752"
"09894520-BI","americanexpress",374283787206630,"#Td8280"
"69400642-VF","visa",4041592147191943,"#ek9044"
"51884316-OE","mastercard",5100148439660718,"#xb1919"
"03079998-VK","visa",4041599574381,"#OA7423"
"40742962-GP","mastercard",5048377126936587,"#Dk7732"
"11198882-TC","mastercard",5100138463020384,"#yE5660"
"25281780-BB","mastercard",5108752346036417,"#mi1355"
"73132028-NT","americanexpress",337941432056900,"#su7187"
"93271719-GA","americanexpress",374288297315060,"#uu8842"
"69059837-MW","mastercard",5108751089990384,"#Iv1933"
"61246712-TI","visa",4017951552950658,"#zi5399"
"96136095-KC","americanexpress",374622806000047,"#XO5882"
"62083322-TY","visa",4041592530653707,"#Jd5375"
"19999199-HU","mastercard",5100135587282494,"#Cq6459"
"22567295-CZ","americanexpress",337941527110687,"#As2890"
"96327591-UR","mastercard",5048374288557673,"#uw7637"
"04386630-UW","americanexpress",374288721225620,"#Xa7116"
"39239907-QI","mastercard",5108755544300576,"#zq0448"
"48824163-TB","americanexpress",337941930111975,"#Nf9103"
"62681265-FH","americanexpress",374622761145753,"#Bm7594"
"74106259-GQ","visa",4041593828708773,"#de3280"
"65374317-GV","mastercard",5007663612703493,"#ii6562"
"75273359-KH","visa",4041377725759,"#wg7690"
"78905960-GA","americanexpress",374622692229064,"#tP4838"
"84332930-HH","visa",4017956289538577,"#Nv6163"
"58808158-YN","americanexpress",337941809835548,"#JC3044"
"23913219-DZ","mastercard",5002357057053002,"#Fv4774"
"64419838-OR","visa",4041378601702437,"#xo1393"
"31300947-TT","americanexpress",337941403228520,"#Kn2275"
"03457779-UZ","mastercard",5010121552363633,"#Vk0743"
"44219883-BQ","mastercard",5100174713438779,"#ky6854"
"33190700-YQ","visa",4041599831631191,"#pr1926"
"06581885-BO","visa",4041598943666673,"#XK8135"
"62437457-NR","visa",4017952911619646,"#VV5362"
"20758012-DO","visa",4041591751409,"#ps1395"
"23818013-DV","mastercard",5100178054921236,"#wa3881"
"75033053-GU","americanexpress",374622172269960,"#EZ7354"
